"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
37,2023,221,2,2,NA,1,NA,0.246,238.66,0.254665595,0.041054631,0.134918213,0.225631714,0.25800705,0.285839081,0.303077698,0.351036072
37,2023,265,2,3,NA,0,NA,0.174,106.11,0.171675505,0.039836049,0.077186584,0.144218445,0.175949097,0.1978302,0.224165344,0.268264771
38,2022,165,2,1,0,0,8,0.684,741.5,0.638185382,0.071732585,0.252456665,0.614545822,0.648956299,0.678056717,0.708919525,0.870307922
38,2022,214,2,2,0,0,6,0.088,45.83,0.03602272,0.021312031,0.010055542,0.023046494,0.032512665,0.042074203,0.053704834,0.162055969
38,2022,257,2,3,0,0,10,0.1,40.37,0.043034762,0.015370295,0.010246277,0.031692505,0.042396545,0.054615021,0.063421631,0.083091736
38,2023,157,2,1,NA,1,16,0.564,832.41,0.674657328,0.085608709,0.399055481,0.612213135,0.68106842,0.748096466,0.78181839,0.845947266
38,2023,221,2,2,NA,0,17,0.248,189.85,0.216191081,0.037138602,0.144989014,0.187217712,0.212097168,0.243946075,0.270980835,0.305419922
38,2023,265,2,3,NA,0,12,0.162,103.51,0.133221214,0.023107932,0.049804688,0.117513657,0.134628296,0.148712158,0.161502838,0.198455811
39,2022,165,2,1,0,1,NA,0.658,921.28,0.540817579,0.05626083,0.384025574,0.501121521,0.5362854,0.577573776,0.61105957,0.72517395
39,2022,214,2,2,0,0,NA,0.068,17.95,0.034245,0.013390114,0.010025024,0.023845673,0.032875061,0.043769836,0.053257751,0.078590393
39,2022,257,2,3,0,0,NA,0.098,24.34,0.04452853,0.017563969,0.010055542,0.030757904,0.043865204,0.05664444,0.069026947,0.09085083
39,2023,157,2,1,NA,1,10,0.36,658.01,0.431033538,0.093020439,0.216583252,0.367835999,0.411727905,0.490716934,0.580619812,0.658584595
39,2023,221,2,2,NA,1,NA,0.234,121.24,0.178925111,0.024838016,0.120307922,0.161270142,0.177658081,0.19670105,0.21204834,0.253662109
39,2023,265,2,3,NA,0,NA,0.162,78.7,0.120668667,0.027786053,0.047424316,0.102544785,0.120948792,0.140317917,0.156676483,0.191917419
4,2022,165,1,1,0,1,8,0.56,1347.67,0.527509176,0.079533726,0.322990417,0.475854874,0.537345886,0.585496902,0.630180359,0.668464661
4,2022,257,1,2,0,0,6,0.232,202.19,0.149494932,0.030658445,0.069869995,0.126747131,0.146270752,0.173740387,0.18977356,0.245201111
4,2023,157,1,1,NA,1,7,0.644,862.54,0.656784907,0.083911883,0.304214478,0.613458633,0.666320801,0.714365005,0.74577713,0.815032959
4,2023,265,1,2,NA,2,9,0.316,297.43,0.247553802,0.034788172,0.134620667,0.226051331,0.249717712,0.271587372,0.292533875,0.327407837
40,2022,165,2,1,1,2,6,0.468,1012.77,0.468466245,0.144027559,0.104248047,0.382829666,0.45022583,0.593320847,0.665546417,0.735290527
